District,Year,Enrollment
Mineral,2011,4373.0
Mineral,2012,4282.0
Mineral,2013,4244.0
Mineral,2014,4187.0
Mineral,2015,4186.0
Mineral,2016,4190.0
Mineral,2017,4165.0
Mineral,2018,4105.0
Mineral,2019,4096.0
Mineral,2020,4038.0
Mineral,2021,3964.0
Mineral,2022,3961.0
Mineral,2023,3961.0
Mineral,2024,3905.0
Mineral,2025,3873.0
Mineral,2026,3884.0
Mingo,2011,4573.0
Mingo,2012,4506.0
Mingo,2013,4441.0
Mingo,2014,4403.0
Mingo,2015,4351.0
Mingo,2016,4202.0
Mingo,2017,4200.0
Mingo,2018,4209.0
Mingo,2019,4075.0
Mingo,2020,4003.0
Mingo,2021,3817.0
Mingo,2022,3780.0
Mingo,2023,3574.0
Mingo,2024,3402.0
Mingo,2025,3354.0
Mingo,2026,3253.0
Monongalia,2011,10731.0
Monongalia,2012,10929.0
Monongalia,2013,11029.0
Monongalia,2014,11192.0
Monongalia,2015,11296.0
Monongalia,2016,11414.0
Monongalia,2017,11454.0
Monongalia,2018,11595.0
Monongalia,2019,11521.0
Monongalia,2020,11589.0
Monongalia,2021,11062.0
Monongalia,2022,11260.0
Monongalia,2023,11281.0
Monongalia,2024,11164.0
Monongalia,2025,11135.0
Monongalia,2026,11050.0
Monroe,2011,1921.0
Monroe,2012,1884.0
Monroe,2013,1852.0
Monroe,2014,1820.0
Monroe,2015,1839.0
Monroe,2016,1814.0
Monroe,2017,1829.0
Monroe,2018,1784.0
Monroe,2019,1736.0
Monroe,2020,1684.0
Monroe,2021,1647.0
Monroe,2022,1626.0
Monroe,2023,1630.0
Monroe,2024,1614.0
Monroe,2025,1594.0
Monroe,2026,1548.0
Morgan,2011,2617.0
Morgan,2012,2586.0
Morgan,2013,2572.0
Morgan,2014,2580.0
Morgan,2015,2505.0
Morgan,2016,2404.0
Morgan,2017,2323.0
Morgan,2018,2332.0
Morgan,2019,2302.0
Morgan,2020,2219.0
Morgan,2021,2178.0
Morgan,2022,2216.0
Morgan,2023,2179.0
Morgan,2024,2144.0
Morgan,2025,2111.0
Morgan,2026,2062.0
Nicholas,2011,4076.0
Nicholas,2012,4051.0
Nicholas,2013,4035.0
Nicholas,2014,3956.0
Nicholas,2015,3953.0
Nicholas,2016,3870.0
Nicholas,2017,3795.0
Nicholas,2018,3738.0
Nicholas,2019,3693.0
Nicholas,2020,3587.0
Nicholas,2021,3444.0
Nicholas,2022,3447.0
Nicholas,2023,3465.0
Nicholas,2024,3338.0
Nicholas,2025,3185.0
Nicholas,2026,3002.0
Ohio,2011,5370.0
Ohio,2012,5469.0
Ohio,2013,5485.0
Ohio,2014,5428.0
Ohio,2015,5453.0
Ohio,2016,5379.0
Ohio,2017,5367.0
Ohio,2018,5269.0
Ohio,2019,5222.0
Ohio,2020,5202.0
Ohio,2021,5056.0
Ohio,2022,5023.0
Ohio,2023,4965.0
Ohio,2024,4865.0
Ohio,2025,4684.0
Ohio,2026,4554.0
Pendleton,2011,1065.0
Pendleton,2012,1045.0
Pendleton,2013,1007.0
Pendleton,2014,1001.0
Pendleton,2015,946.0
Pendleton,2016,957.0
Pendleton,2017,931.0
Pendleton,2018,932.0
Pendleton,2019,929.0
Pendleton,2020,860.0
Pendleton,2021,869.0
Pendleton,2022,869.0
Pendleton,2023,865.0
Pendleton,2024,846.0
Pendleton,2025,850.0
Pendleton,2026,843.0
Pleasants,2011,1278.0
Pleasants,2012,1253.0
Pleasants,2013,1243.0
Pleasants,2014,1232.0
Pleasants,2015,1212.0
Pleasants,2016,1163.0
Pleasants,2017,1137.0
Pleasants,2018,1145.0
Pleasants,2019,1100.0
Pleasants,2020,1093.0
Pleasants,2021,1050.0
Pleasants,2022,1066.0
Pleasants,2023,1086.0
Pleasants,2024,1051.0
Pleasants,2025,1040.0
Pleasants,2026,1011.0
Pocahontas,2011,1183.0
Pocahontas,2012,1145.0
Pocahontas,2013,1133.0
Pocahontas,2014,1112.0
Pocahontas,2015,1074.0
Pocahontas,2016,1067.0
Pocahontas,2017,1061.0
Pocahontas,2018,1025.0
Pocahontas,2019,1004.0
Pocahontas,2020,978.0
Pocahontas,2021,955.0
Pocahontas,2022,942.0
Pocahontas,2023,916.0
Pocahontas,2024,918.0
Pocahontas,2025,893.0
Pocahontas,2026,833.0
Preston,2011,4600.0
Preston,2012,4607.0
Preston,2013,4575.0
Preston,2014,4583.0
Preston,2015,4583.0
Preston,2016,4544.0
Preston,2017,4513.0
Preston,2018,4518.0
Preston,2019,4408.0
Preston,2020,4373.0
Preston,2021,4205.0
Preston,2022,4231.0
Preston,2023,4077.0
Preston,2024,3951.0
Preston,2025,3763.0
Preston,2026,3549.0
Putnam,2011,9631.0
Putnam,2012,9779.0
Putnam,2013,9788.0
Putnam,2014,9907.0
Putnam,2015,9792.0
Putnam,2016,9761.0
Putnam,2017,9715.0
Putnam,2018,9628.0
Putnam,2019,9536.0
Putnam,2020,9460.0
Putnam,2021,9138.0
Putnam,2022,9120.0
Putnam,2023,8978.0
Putnam,2024,8784.0
Putnam,2025,8497.0
Putnam,2026,8355.0
Raleigh,2011,12372.0
Raleigh,2012,12456.0
Raleigh,2013,12580.0
Raleigh,2014,12568.0
Raleigh,2015,12428.0
Raleigh,2016,12328.0
Raleigh,2017,12149.0
Raleigh,2018,11993.0
Raleigh,2019,11627.0
Raleigh,2020,11390.0
Raleigh,2021,10849.0
Raleigh,2022,10778.0
Raleigh,2023,10845.0
Raleigh,2024,10517.0
Raleigh,2025,10272.0
Raleigh,2026,10081.0
Randolph,2011,4294.0
