local_school_id,year,district_code,District,school_code,school_name,Enrollment,school_type,reported_type,inferred_type_from_grades,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
10304,2026,10,Brooke,304,Brooke Middle School,600.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,154.0,124.0,166.0,156.0,0.0,0.0,0.0,0.0
10502,2026,10,Brooke,502,Brooke High School,825.0,Secondary,Secondary,Secondary,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,178.0,169.0,197.0
12203,2026,12,Cabell,203,Altizer Elementary School,195.0,Elementary,Elementary,Elementary,31.0,34.0,29.0,26.0,29.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12218,2026,12,Cabell,218,Cox Landing Elementary School,192.0,Elementary,Elementary,Elementary,19.0,27.0,30.0,27.0,32.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12221,2026,12,Cabell,221,Culloden Elementary School,204.0,Elementary,Elementary,Elementary,19.0,33.0,25.0,30.0,41.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12224,2026,12,Cabell,224,Davis Creek Elementary School,232.0,Elementary,Elementary,Elementary,31.0,35.0,33.0,36.0,34.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12227,2026,12,Cabell,227,Explorer Academy,365.0,Elementary,Elementary,Elementary,61.0,49.0,49.0,46.0,52.0,62.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12236,2026,12,Cabell,236,Guyandotte Elementary School,235.0,Elementary,Elementary,Elementary,43.0,31.0,33.0,26.0,34.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12239,2026,12,Cabell,239,Highlawn Elementary School,326.0,Elementary,Elementary,Elementary,60.0,47.0,55.0,30.0,49.0,42.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12242,2026,12,Cabell,242,Hite Saunders Elementary School,213.0,Elementary,Elementary,Elementary,2.0,31.0,41.0,35.0,38.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12251,2026,12,Cabell,251,Martha Elementary School,205.0,Elementary,Elementary,Elementary,15.0,37.0,30.0,29.0,37.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12254,2026,12,Cabell,254,Meadows Elementary School,268.0,Elementary,Elementary,Elementary,60.0,33.0,32.0,37.0,35.0,39.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12263,2026,12,Cabell,263,Milton Elementary School,492.0,Elementary,Elementary,Elementary,80.0,61.0,67.0,70.0,86.0,75.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12269,2026,12,Cabell,269,Nichols Elementary School,215.0,Elementary,Elementary,Elementary,13.0,35.0,26.0,47.0,29.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12272,2026,12,Cabell,272,Ona Elementary School,280.0,Elementary,Elementary,Elementary,20.0,35.0,51.0,50.0,49.0,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12285,2026,12,Cabell,285,Salt Rock Elementary School,214.0,Elementary,Elementary,Elementary,10.0,30.0,39.0,32.0,27.0,39.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12287,2026,12,Cabell,287,Spring Hill Elementary School,436.0,Elementary,Elementary,Elementary,35.0,90.0,60.0,64.0,51.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12290,2026,12,Cabell,290,Central City Elementary School,387.0,Elementary,Elementary,Elementary,55.0,57.0,59.0,59.0,56.0,58.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12291,2026,12,Cabell,291,Village of Barboursville Elementary School,531.0,Elementary,Elementary,Elementary,34.0,73.0,75.0,97.0,71.0,96.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12292,2026,12,Cabell,292,Southside Elementary School,416.0,Elementary,Elementary,Elementary,44.0,66.0,67.0,52.0,52.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12301,2026,12,Cabell,301,Barboursville Middle School,669.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,217.0,238.0,0.0,0.0,0.0,0.0
12308,2026,12,Cabell,308,Milton Middle School,534.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,187.0,178.0,0.0,0.0,0.0,0.0
12310,2026,12,Cabell,310,Huntington Middle School,585.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,214.0,189.0,0.0,0.0,0.0,0.0
12311,2026,12,Cabell,311,Huntington East Middle School,511.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,164.0,171.0,0.0,0.0,0.0,0.0
12502,2026,12,Cabell,502,Crossroads Academy,78.0,Alternative,Alternative,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,11.0,13.0,22.0,13.0
12550,2026,12,Cabell,550,Cabell Midland High School,1618.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,396.0,398.0,388.0
12560,2026,12,Cabell,560,Huntington High School,1552.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,398.0,358.0,353.0
14201,2026,14,Calhoun,201,Arnoldsburg School,151.0,Elementary,Elementary,Elementary,24.0,21.0,29.0,19.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14203,2026,14,Calhoun,203,Pleasant Hill School,138.0,Elementary,Elementary,Elementary,16.0,22.0,23.0,25.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14501,2026,14,Calhoun,501,Calhoun Middle/High School,473.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,65.0,66.0,69.0,51.0,70.0,60.0
16202,2026,16,Clay,202,Clay Elementary School,401.0,Elementary,Elementary,Elementary,48.0,49.0,69.0,61.0,42.0,74.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16209,2026,16,Clay,209,Big Otter Elementary School,193.0,Elementary,Elementary,Elementary,38.0,18.0,23.0,23.0,23.0,36.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16301,2026,16,Clay,301,Clay Middle School,254.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,100.0,78.0,0.0,0.0,0.0,0.0
16501,2026,16,Clay,501,Clay County High School,490.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,127.0,136.0,114.0
